text,label
Tomato Paste - 1g,TITLE
Milk 1L - 1pack,TITLE
560.58,PRICE
Milk 1L - 1ml,TITLE
230.93,PRICE
Olive Oil - 1L,TITLE
Brown Sugar - 1kg,TITLE
364.73,PRICE
138.42,PRICE
Red Split Lentils - 4g,TITLE
Olive Oil - 2pack,TITLE
267.89,PRICE
230.05,PRICE
Tomato Paste - 5g,TITLE
216.14,PRICE
808.78,PRICE
Red Split Lentils - 5kg,TITLE
Rice - Basmati - 3pcs,TITLE
Rice - Basmati - 1g,TITLE
Olive Oil - 4kg,TITLE
Milk 1L - 2kg,TITLE
Rice - Basmati - 5kg,TITLE
166.23,PRICE
Canned Beans - 1g,TITLE
393.53,PRICE
Olive Oil - 1pcs,TITLE
Tomato Paste - 5L,TITLE
Cheddar Cheese - 1kg,TITLE
222.39,PRICE
604.63,PRICE
Rice - Basmati - 2L,TITLE
242.74,PRICE
92.44,PRICE
Canned Beans - 1kg,TITLE
Brown Sugar - 3kg,TITLE
986.52,PRICE
554.05,PRICE
Whole Wheat Flour - 5kg,TITLE
77.49,PRICE
852.19,PRICE
308.44,PRICE
499.57,PRICE
471.66,PRICE
730.66,PRICE
745.62,PRICE
Milk 1L - 2kg,TITLE
Viva Original - 2pack,TITLE
53.63,PRICE
Milk 1L - 3kg,TITLE
160.88,PRICE
Canned Beans - 1pack,TITLE
492.53,PRICE
927.23,PRICE
Olive Oil - 2pack,TITLE
Cheddar Cheese - 2pack,TITLE
393.01,PRICE
109.46,PRICE
370.51,PRICE
Brown Sugar - 4ml,TITLE
Brown Sugar - 2pcs,TITLE
Olive Oil - 4kg,TITLE
Cheddar Cheese - 5g,TITLE
457.24,PRICE
823.71,PRICE
Canned Beans - 3g,TITLE
Red Split Lentils - 3ml,TITLE
Cheddar Cheese - 3kg,TITLE

