Task,Category
prescription,Health
health,Health
fitness,Health
running,Health
walking,Health
swimming,Health
stretching,Health
nutrition,Health
calorie,Health
weight,Health
blood,Health
sugar,Health
pulse,Health
pressure,Health
injection,Health
vaccine,Health
recovery,Health
rest,Health
sleep,Health
mental,Health
physical,Health
therapeutic,Health
massage,Health
spa,Health
healing,Health
first aid,Health
bandage,Health
ointment,Health
scan,Health
Buy doctor,Health
Buy medicine,Health
Buy hospital,Health
Buy gym,Health
Buy workout,Health
clean,Personal
laundry,Personal
bills,Personal
home,Personal
room,Personal
desk,Personal
kitchen,Personal
tidy,Personal
organize,Personal
vacuum,Personal
wash,Personal
clutter,Personal
trash,Personal
garbage,Personal
electricity,Personal
water,Personal
internet,Personal
rent,Personal
mortgage,Personal
maintenance,Personal
repair,Personal
paint,Personal
decorate,Personal
garden,Personal
plants,Personal
pet,Personal
dog,Personal
cat,Personal
feed,Personal
walk,Personal
groceries,Personal
cooking,Personal
dishes,Personal
sweep,Personal
mop,Personal
dust,Personal
window,Personal
mirror,Personal
furniture,Personal
closet,Personal
clothes,Personal
shoes,Personal
bag,Personal
keys,Personal
wallet,Personal
plan,Personal
journal,Personal
read,Personal
relax,Personal
hobby,Personal
clean,Personal
laundry,Personal
bills,Personal
home,Personal
room,Personal
desk,Personal
kitchen,Personal
tidy,Personal
organize,Personal
vacuum,Personal
wash,Personal
clutter,Personal
trash,Personal
garbage,Personal
electricity,Personal
water,Personal
internet,Personal
rent,Personal
mortgage,Personal
maintenance,Personal
repair,Personal
paint,Personal
decorate,Personal
garden,Personal
plants,Personal
pet,Personal
dog,Personal
cat,Personal
feed,Personal
walk,Personal
groceries,Personal
cooking,Personal
dishes,Personal
sweep,Personal
mop,Personal
dust,Personal
window,Personal
mirror,Personal
furniture,Personal
closet,Personal
clothes,Personal
shoes,Personal
bag,Personal
keys,Personal
wallet,Personal
plan,Personal
journal,Personal
read,Personal
relax,Personal
hobby,Personal
Buy clean,Personal
Buy laundry,Personal
Buy bills,Personal
Buy home,Personal
Buy room,Personal
