date,category,commodity,unit,commodity_id,price,usdprice
2006-11-15,cereals and tubers,Rice (red nadu),KG,157.0,34.65,0.32
2006-11-15,cereals and tubers,Rice (white),KG,133.0,31.78,0.29
2006-11-15,cereals and tubers,Wheat flour,KG,58.0,49.73,0.46
2006-12-15,cereals and tubers,Wheat flour,KG,58.0,40.06,0.37
2007-01-15,cereals and tubers,Rice (red nadu),KG,157.0,55.61,0.51
2007-01-15,cereals and tubers,Rice (white),KG,133.0,34.5,0.32
2007-01-15,cereals and tubers,Wheat flour,KG,58.0,45.0,0.42
2007-02-15,cereals and tubers,Rice (red nadu),KG,157.0,35.44,0.33
2007-02-15,cereals and tubers,Wheat flour,KG,58.0,48.21,0.44
2007-03-15,cereals and tubers,Rice (red nadu),KG,157.0,39.64,0.36
2007-03-15,cereals and tubers,Rice (white),KG,133.0,34.29,0.31
2007-03-15,cereals and tubers,Wheat flour,KG,58.0,45.41,0.42
2007-04-15,cereals and tubers,Rice (red nadu),KG,157.0,43.22,0.4
2007-04-15,cereals and tubers,Wheat flour,KG,58.0,43.75,0.4
2007-05-15,cereals and tubers,Rice (red nadu),KG,157.0,40.37,0.36
2007-05-15,cereals and tubers,Wheat flour,KG,58.0,47.82,0.43
2007-06-15,cereals and tubers,Rice (red nadu),KG,157.0,35.43,0.32
2007-06-15,cereals and tubers,Rice (white),KG,133.0,35.76,0.32
2007-06-15,cereals and tubers,Wheat flour,KG,58.0,49.25,0.44
2007-07-15,cereals and tubers,Rice (red nadu),KG,157.0,32.44,0.29
2007-07-15,cereals and tubers,Wheat flour,KG,58.0,50.5,0.45
2007-08-15,cereals and tubers,Rice (red nadu),KG,157.0,46.7,0.42
2007-08-15,cereals and tubers,Rice (white),KG,133.0,37.1,0.33
2007-08-15,cereals and tubers,Wheat flour,KG,58.0,56.79,0.51
2007-09-15,cereals and tubers,Rice (red nadu),KG,157.0,39.58,0.35
2007-09-15,cereals and tubers,Rice (white),KG,133.0,37.63,0.33
2007-09-15,cereals and tubers,Wheat flour,KG,58.0,54.83,0.48
2007-10-15,cereals and tubers,Rice (red nadu),KG,157.0,47.44,0.42
2007-10-15,cereals and tubers,Wheat flour,KG,58.0,65.17,0.58
2007-11-15,cereals and tubers,Rice (red nadu),KG,157.0,51.21,0.46
2007-11-15,cereals and tubers,Rice (white),KG,133.0,47.5,0.43
2007-11-15,cereals and tubers,Wheat flour,KG,58.0,67.92,0.61
2007-12-15,cereals and tubers,Rice (white),KG,133.0,54.04,0.5
2007-12-15,cereals and tubers,Wheat flour,KG,58.0,67.35,0.62
2008-01-15,cereals and tubers,Rice (red nadu),KG,157.0,62.0,0.57
2008-01-15,cereals and tubers,Rice (white),KG,133.0,57.41,0.53
2008-01-15,cereals and tubers,Wheat flour,KG,58.0,75.62,0.7
2008-02-15,cereals and tubers,Rice (red nadu),KG,157.0,61.79,0.57
2008-02-15,cereals and tubers,Rice (white),KG,133.0,62.73,0.58
2008-02-15,cereals and tubers,Wheat flour,KG,58.0,75.0,0.7
2008-03-15,cereals and tubers,Rice (red nadu),KG,157.0,60.58,0.56
2008-03-15,cereals and tubers,Wheat flour,KG,58.0,77.75,0.72
2008-04-15,cereals and tubers,Rice (red nadu),KG,157.0,64.43,0.6
2008-04-15,cereals and tubers,Rice (white),KG,133.0,65.81,0.61
2008-04-15,cereals and tubers,Wheat flour,KG,58.0,80.5,0.75
2008-05-15,cereals and tubers,Rice (red nadu),KG,157.0,51.0,0.47
2008-05-15,cereals and tubers,Wheat flour,KG,58.0,79.0,0.73
2008-06-15,cereals and tubers,Rice (red nadu),KG,157.0,73.25,0.68
2008-06-15,cereals and tubers,Rice (white),KG,133.0,66.05,0.61
2008-06-15,cereals and tubers,Wheat flour,KG,58.0,83.71,0.78
2008-07-15,cereals and tubers,Rice (red nadu),KG,157.0,64.08,0.6
2008-07-15,cereals and tubers,Rice (white),KG,133.0,62.6,0.58
2008-07-15,cereals and tubers,Wheat flour,KG,58.0,79.36,0.74
2008-08-15,cereals and tubers,Rice (red nadu),KG,157.0,61.67,0.57
2008-08-15,cereals and tubers,Rice (white),KG,133.0,62.22,0.58
2008-08-15,cereals and tubers,Wheat flour,KG,58.0,83.38,0.78
2008-09-15,cereals and tubers,Wheat flour,KG,58.0,71.28,0.66
2008-10-15,cereals and tubers,Rice (white),KG,133.0,61.55,0.57
2008-11-15,cereals and tubers,Rice (white),KG,133.0,61.69,0.56
2008-11-15,cereals and tubers,Wheat flour,KG,58.0,69.79,0.64
2008-12-15,cereals and tubers,Rice (white),KG,133.0,63.94,0.57
2009-01-15,cereals and tubers,Rice (long grain),KG,162.0,60.73,0.53
2009-01-15,cereals and tubers,Rice (red nadu),KG,157.0,68.53,0.6
2009-01-15,cereals and tubers,Rice (white),KG,133.0,64.62,0.57
2009-01-15,cereals and tubers,Wheat flour,KG,58.0,69.62,0.61
2009-02-15,cereals and tubers,Rice (red nadu),KG,157.0,71.56,0.63
2009-02-15,cereals and tubers,Wheat flour,KG,58.0,69.33,0.61
2009-03-15,cereals and tubers,Rice (long grain),KG,162.0,60.12,0.53
2009-03-15,cereals and tubers,Rice (red nadu),KG,157.0,73.92,0.65
2009-03-15,cereals and tubers,Wheat flour,KG,58.0,70.75,0.62
2009-04-15,cereals and tubers,Rice (long grain),KG,162.0,60.23,0.52
2009-04-15,cereals and tubers,Rice (red nadu),KG,157.0,78.02,0.67
2009-04-15,cereals and tubers,Wheat flour,KG,58.0,69.93,0.61
2009-05-15,cereals and tubers,Rice (red nadu),KG,157.0,71.67,0.61
2009-05-15,cereals and tubers,Wheat flour,KG,58.0,73.86,0.63
2009-06-15,cereals and tubers,Rice (long grain),KG,162.0,60.04,0.52
2009-06-15,cereals and tubers,Rice (red nadu),KG,157.0,87.52,0.76
2009-06-15,cereals and tubers,Wheat flour,KG,58.0,69.0,0.6
2009-07-15,cereals and tubers,Rice (red nadu),KG,157.0,83.58,0.73
2009-07-15,cereals and tubers,Rice (white),KG,133.0,60.92,0.53
2009-07-15,cereals and tubers,Wheat flour,KG,58.0,71.01,0.62
2009-08-15,cereals and tubers,Rice (long grain),KG,162.0,60.1,0.52
2009-08-15,cereals and tubers,Rice (red nadu),KG,157.0,87.74,0.77
2009-08-15,cereals and tubers,Rice (white),KG,133.0,61.11,0.53
2009-08-15,cereals and tubers,Wheat flour,KG,58.0,71.48,0.62
2009-09-15,cereals and tubers,Rice (long grain),KG,162.0,59.97,0.52
2009-09-15,cereals and tubers,Rice (red nadu),KG,157.0,80.44,0.7
2009-09-15,cereals and tubers,Wheat flour,KG,58.0,71.58,0.62
2009-10-15,cereals and tubers,Rice (long grain),KG,162.0,60.61,0.53
2009-10-15,cereals and tubers,Rice (red nadu),KG,157.0,81.1,0.71
2009-10-15,cereals and tubers,Wheat flour,KG,58.0,71.53,0.62
2009-11-15,cereals and tubers,Rice (red nadu),KG,157.0,82.29,0.72
2009-11-15,cereals and tubers,Wheat flour,KG,58.0,71.38,0.62
2009-12-15,cereals and tubers,Rice (long grain),KG,162.0,62.65,0.55
2009-12-15,cereals and tubers,Rice (red nadu),KG,157.0,71.25,0.62
2009-12-15,cereals and tubers,Rice (white),KG,133.0,63.19,0.55
2009-12-15,cereals and tubers,Wheat flour,KG,58.0,69.37,0.61
2010-01-15,cereals and tubers,Rice (long grain),KG,162.0,60.73,0.53
2010-01-15,cereals and tubers,Rice (red nadu),KG,157.0,84.56,0.74
2010-01-15,cereals and tubers,Rice (white),KG,133.0,65.93,0.58
2010-01-15,cereals and tubers,Wheat flour,KG,58.0,64.11,0.56
2010-02-15,cereals and tubers,Rice (red nadu),KG,157.0,77.22,0.68
2010-02-15,cereals and tubers,Rice (white),KG,133.0,62.2,0.54
2010-02-15,cereals and tubers,Wheat flour,KG,58.0,61.93,0.54
2010-03-15,cereals and tubers,Rice (red nadu),KG,157.0,69.23,0.61
2010-03-15,cereals and tubers,Rice (white),KG,133.0,52.77,0.46
2010-03-15,cereals and tubers,Wheat flour,KG,58.0,60.71,0.53
2010-04-15,cereals and tubers,Rice (long grain),KG,162.0,60.23,0.53
2010-04-15,cereals and tubers,Rice (red nadu),KG,157.0,68.62,0.6
2010-04-15,cereals and tubers,Wheat flour,KG,58.0,58.26,0.51
2010-05-15,cereals and tubers,Rice (red nadu),KG,157.0,64.6,0.57
2010-05-15,cereals and tubers,Rice (white),KG,133.0,52.15,0.46
2010-05-15,cereals and tubers,Wheat flour,KG,58.0,62.86,0.56
2010-06-15,cereals and tubers,Rice (long grain),KG,162.0,60.04,0.53
2010-06-15,cereals and tubers,Rice (red nadu),KG,157.0,61.15,0.54
2010-06-15,cereals and tubers,Rice (white),KG,133.0,51.81,0.46
2010-06-15,cereals and tubers,Wheat flour,KG,58.0,62.83,0.55
2010-07-15,cereals and tubers,Rice (long grain),KG,162.0,60.24,0.53
2010-07-15,cereals and tubers,Rice (red nadu),KG,157.0,57.33,0.51
2010-07-15,cereals and tubers,Rice (white),KG,133.0,49.45,0.44
2010-07-15,cereals and tubers,Wheat flour,KG,58.0,71.5,0.63
2010-08-15,cereals and tubers,Rice (red nadu),KG,157.0,56.05,0.5
2010-08-15,cereals and tubers,Rice (white),KG,133.0,47.38,0.42
2010-08-15,cereals and tubers,Wheat flour,KG,58.0,70.34,0.63
2010-09-15,cereals and tubers,Rice (red nadu),KG,157.0,57.02,0.5
2010-09-15,cereals and tubers,Rice (white),KG,133.0,48.45,0.43
2010-09-15,cereals and tubers,Wheat flour,KG,58.0,73.6,0.66
2010-10-15,cereals and tubers,Rice (long grain),KG,162.0,60.61,0.54
2010-10-15,cereals and tubers,Rice (red nadu),KG,157.0,57.0,0.51
2010-10-15,cereals and tubers,Wheat flour,KG,58.0,79.29,0.71
2010-11-15,cereals and tubers,Rice (long grain),KG,162.0,61.44,0.55
2010-11-15,cereals and tubers,Rice (red nadu),KG,157.0,58.9,0.53
2010-11-15,cereals and tubers,Wheat flour,KG,58.0,81.22,0.73
2010-12-15,cereals and tubers,Rice (long grain),KG,162.0,62.65,0.56
2010-12-15,cereals and tubers,Rice (red nadu),KG,157.0,62.52,0.56
2010-12-15,cereals and tubers,Rice (white),KG,133.0,57.89,0.52
2010-12-15,cereals and tubers,Wheat flour,KG,58.0,82.69,0.75
2011-01-15,cereals and tubers,Rice (long grain),KG,162.0,60.73,0.55
2011-01-15,cereals and tubers,Rice (red nadu),KG,157.0,62.72,0.57
2011-01-15,cereals and tubers,Rice (white),KG,133.0,56.52,0.51
2011-01-15,cereals and tubers,Wheat flour,KG,58.0,81.23,0.73
2011-02-15,cereals and tubers,Rice (red nadu),KG,157.0,66.17,0.6
2011-02-15,cereals and tubers,Wheat flour,KG,58.0,82.44,0.74
2011-03-15,cereals and tubers,Rice (red nadu),KG,157.0,64.05,0.58
2011-03-15,cereals and tubers,Rice (white),KG,133.0,59.23,0.54
2011-03-15,cereals and tubers,Wheat flour,KG,58.0,81.74,0.74
2011-04-15,cereals and tubers,Rice (red nadu),KG,157.0,64.06,0.58
2011-04-15,cereals and tubers,Rice (white),KG,133.0,58.09,0.53
2011-04-15,cereals and tubers,Wheat flour,KG,58.0,83.52,0.76
2011-05-15,cereals and tubers,Rice (long grain),KG,162.0,60.5,0.55
2011-05-15,cereals and tubers,Rice (red nadu),KG,157.0,60.96,0.56
2011-05-15,cereals and tubers,Rice (white),KG,133.0,58.24,0.53
2011-05-15,cereals and tubers,Wheat flour,KG,58.0,83.92,0.76
2011-06-15,cereals and tubers,Rice (long grain),KG,162.0,60.04,0.55
2011-06-15,cereals and tubers,Rice (red nadu),KG,157.0,61.12,0.56
2011-06-15,cereals and tubers,Rice (white),KG,133.0,57.44,0.52
2011-06-15,cereals and tubers,Wheat flour,KG,58.0,82.05,0.75
2011-07-15,cereals and tubers,Rice (red nadu),KG,157.0,59.8,0.55
2011-07-15,cereals and tubers,Rice (white),KG,133.0,56.42,0.52
2011-07-15,cereals and tubers,Wheat flour,KG,58.0,83.74,0.76
2011-08-15,cereals and tubers,Rice (long grain),KG,162.0,60.1,0.55
2011-08-15,cereals and tubers,Rice (red nadu),KG,157.0,59.95,0.55
2011-08-15,cereals and tubers,Rice (white),KG,133.0,54.91,0.5
2011-08-15,cereals and tubers,Wheat flour,KG,58.0,82.35,0.75
2011-09-15,cereals and tubers,Rice (red nadu),KG,157.0,59.12,0.54
2011-09-15,cereals and tubers,Wheat flour,KG,58.0,81.56,0.74
2011-10-15,cereals and tubers,Rice (long grain),KG,162.0,60.61,0.55
2011-10-15,cereals and tubers,Rice (red nadu),KG,157.0,60.02,0.54
2011-10-15,cereals and tubers,Rice (white),KG,133.0,54.27,0.49
2011-10-15,cereals and tubers,Wheat flour,KG,58.0,80.2,0.73
2011-11-15,cereals and tubers,Rice (long grain),KG,162.0,61.44,0.56
2011-11-15,cereals and tubers,Rice (red nadu),KG,157.0,61.4,0.56
2011-11-15,cereals and tubers,Wheat flour,KG,58.0,80.59,0.73
2011-12-15,cereals and tubers,Rice (long grain),KG,162.0,62.65,0.55
2011-12-15,cereals and tubers,Rice (red nadu),KG,157.0,63.21,0.56
2011-12-15,cereals and tubers,Rice (white),KG,133.0,58.06,0.51
2011-12-15,cereals and tubers,Wheat flour,KG,58.0,80.46,0.71
2012-01-15,cereals and tubers,Rice (long grain),KG,162.0,60.73,0.53
2012-01-15,cereals and tubers,Rice (red nadu),KG,157.0,64.06,0.56
2012-01-15,cereals and tubers,Rice (white),KG,133.0,57.95,0.51
2012-01-15,cereals and tubers,Wheat flour,KG,58.0,80.51,0.71
2012-02-15,cereals and tubers,Rice (red nadu),KG,157.0,61.11,0.51
2012-02-15,cereals and tubers,Rice (white),KG,133.0,55.49,0.47
2012-02-15,cereals and tubers,Wheat flour,KG,58.0,78.48,0.66
2012-03-15,cereals and tubers,Rice (long grain),KG,162.0,60.12,0.48
2012-03-15,cereals and tubers,Rice (red nadu),KG,157.0,60.8,0.49
2012-03-15,cereals and tubers,Rice (white),KG,133.0,54.24,0.43
2012-03-15,cereals and tubers,Wheat flour,KG,58.0,80.5,0.64
2012-04-15,cereals and tubers,Rice (long grain),KG,162.0,60.23,0.47
2012-04-15,cereals and tubers,Rice (red nadu),KG,157.0,63.72,0.5
2012-04-15,cereals and tubers,Wheat flour,KG,58.0,80.97,0.63
2012-05-15,cereals and tubers,Rice (long grain),KG,162.0,60.5,0.47
2012-05-15,cereals and tubers,Rice (red nadu),KG,157.0,59.13,0.46
2012-05-15,cereals and tubers,Rice (white),KG,133.0,51.87,0.4
2012-05-15,cereals and tubers,Wheat flour,KG,58.0,86.32,0.67
2012-06-15,cereals and tubers,Rice (long grain),KG,162.0,60.04,0.46
2012-06-15,cereals and tubers,Rice (red nadu),KG,157.0,61.41,0.47
2012-06-15,cereals and tubers,Wheat flour,KG,58.0,88.12,0.67
2012-07-15,cereals and tubers,Rice (long grain),KG,162.0,60.24,0.45
2012-07-15,cereals and tubers,Rice (red nadu),KG,157.0,62.35,0.47
2012-07-15,cereals and tubers,Rice (white),KG,133.0,56.89,0.43
2012-07-15,cereals and tubers,Wheat flour,KG,58.0,89.03,0.67
2012-07-15,miscellaneous food,Sugar,KG,97.0,102.86,0.77
2012-08-15,cereals and tubers,Rice (long grain),KG,162.0,60.1,0.46
2012-08-15,cereals and tubers,Rice (red nadu),KG,157.0,60.45,0.46
2012-08-15,cereals and tubers,Wheat flour,KG,58.0,93.33,0.71
2012-08-15,miscellaneous food,Sugar,KG,97.0,106.29,0.81
2012-09-15,cereals and tubers,Rice (red nadu),KG,157.0,63.21,0.48
2012-09-15,miscellaneous food,Sugar,KG,97.0,106.49,0.81
2012-10-15,cereals and tubers,Rice (long grain),KG,162.0,60.61,0.47
2012-10-15,cereals and tubers,Rice (red nadu),KG,157.0,63.5,0.49
2012-11-15,cereals and tubers,Rice (long grain),KG,162.0,61.44,0.47
2012-11-15,cereals and tubers,Wheat flour,KG,58.0,98.35,0.76
2012-11-15,miscellaneous food,Sugar,KG,97.0,107.2,0.83
2012-12-15,cereals and tubers,Rice (long grain),KG,162.0,62.65,0.49
2012-12-15,cereals and tubers,Rice (red nadu),KG,157.0,69.0,0.54
2012-12-15,cereals and tubers,Rice (white),KG,133.0,60.58,0.47
2012-12-15,cereals and tubers,Wheat flour,KG,58.0,98.46,0.77
2012-12-15,miscellaneous food,Sugar,KG,97.0,104.98,0.82
2013-01-15,cereals and tubers,Rice (long grain),KG,162.0,60.73,0.48
2013-01-15,cereals and tubers,Rice (white),KG,133.0,60.98,0.48
2013-01-15,cereals and tubers,Wheat flour,KG,58.0,98.34,0.78
2013-01-15,miscellaneous food,Sugar,KG,97.0,102.5,0.81
2013-02-15,cereals and tubers,Rice (red nadu),KG,157.0,64.1,0.51
2013-02-15,cereals and tubers,Wheat flour,KG,58.0,99.08,0.78
2013-02-15,miscellaneous food,Sugar,KG,97.0,104.9,0.83
2013-03-15,cereals and tubers,Rice (long grain),KG,162.0,60.12,0.48
2013-03-15,cereals and tubers,Rice (red nadu),KG,157.0,62.0,0.49
2013-03-15,cereals and tubers,Rice (white),KG,133.0,58.91,0.47
2013-03-15,cereals and tubers,Wheat flour,KG,58.0,99.13,0.79
2013-03-15,miscellaneous food,Sugar,KG,97.0,105.1,0.83
2013-04-15,cereals and tubers,Rice (red nadu),KG,157.0,63.9,0.51
2013-05-15,cereals and tubers,Rice (red nadu),KG,157.0,60.93,0.48
2013-05-15,cereals and tubers,Rice (white),KG,133.0,59.48,0.47
2013-05-15,cereals and tubers,Wheat flour,KG,58.0,98.66,0.78
2013-05-15,miscellaneous food,Sugar,KG,97.0,98.65,0.78
2013-06-15,cereals and tubers,Rice (long grain),KG,162.0,60.04,0.47
2013-06-15,cereals and tubers,Rice (red nadu),KG,157.0,60.95,0.47
2013-06-15,cereals and tubers,Rice (white),KG,133.0,59.52,0.46
2013-06-15,cereals and tubers,Wheat flour,KG,58.0,98.38,0.76
2013-07-15,cereals and tubers,Rice (long grain),KG,162.0,60.24,0.46
2013-07-15,cereals and tubers,Rice (white),KG,133.0,58.88,0.45
2013-07-15,miscellaneous food,Sugar,KG,97.0,99.6,0.76
2013-08-15,cereals and tubers,Rice (white),KG,133.0,57.79,0.44
2013-08-15,cereals and tubers,Wheat flour,KG,58.0,98.0,0.75
2013-08-15,miscellaneous food,Sugar,KG,97.0,102.5,0.78
2013-08-15,non-food,Fuel (petrol-gasoline),L,285.0,162.0,1.23
2013-09-15,cereals and tubers,Rice (long grain),KG,162.0,59.97,0.45
2013-09-15,cereals and tubers,Wheat flour,KG,58.0,98.2,0.74
2013-09-15,miscellaneous food,Sugar,KG,97.0,103.2,0.78
2013-09-15,non-food,Fuel (petrol-gasoline),L,285.0,162.0,1.23
2013-10-15,cereals and tubers,Rice (white),KG,133.0,59.38,0.45
2013-10-15,cereals and tubers,Wheat flour,KG,58.0,98.0,0.75
2013-10-15,non-food,Fuel (diesel),L,284.0,121.0,0.92
2013-10-15,non-food,Fuel (petrol-gasoline),L,285.0,106.5,0.81
2013-11-15,cereals and tubers,Rice (long grain),KG,162.0,60.19,0.46
2013-11-15,cereals and tubers,Rice (white),KG,133.0,59.49,0.45
2013-11-15,cereals and tubers,Wheat flour,KG,58.0,97.52,0.74
2013-11-15,miscellaneous food,Sugar,KG,97.0,100.72,0.77
2013-11-15,non-food,Fuel (diesel),L,284.0,121.0,0.92
2013-12-15,cereals and tubers,Rice (long grain),KG,162.0,62.83,0.48
2013-12-15,cereals and tubers,Rice (white),KG,133.0,60.44,0.46
2013-12-15,cereals and tubers,Wheat flour,KG,58.0,97.32,0.74
2014-01-15,cereals and tubers,Rice (long grain),KG,162.0,71.22,0.55
2014-01-15,cereals and tubers,Rice (white),KG,133.0,64.89,0.5
2014-01-15,cereals and tubers,Wheat flour,KG,58.0,97.55,0.75
2014-01-15,miscellaneous food,Sugar,KG,97.0,101.57,0.78
2014-01-15,non-food,Fuel (diesel),L,284.0,121.0,0.93
2014-02-15,cereals and tubers,Rice (white),KG,133.0,67.18,0.51
2014-02-15,miscellaneous food,Sugar,KG,97.0,102.39,0.78
2014-02-15,non-food,Fuel (petrol-gasoline),L,285.0,162.0,1.24
2014-03-15,cereals and tubers,Rice (long grain),KG,162.0,72.77,0.56
2014-03-15,cereals and tubers,Wheat flour,KG,58.0,97.39,0.75
2014-03-15,non-food,Fuel (diesel),L,284.0,121.0,0.93
2014-04-15,cereals and tubers,Rice (long grain),KG,162.0,76.26,0.58
2014-04-15,cereals and tubers,Rice (white),KG,133.0,69.91,0.54
2014-04-15,cereals and tubers,Wheat flour,KG,58.0,97.38,0.75
2014-04-15,non-food,Fuel (petrol-gasoline),L,285.0,162.0,1.24
2014-05-15,cereals and tubers,Rice (long grain),KG,162.0,77.15,0.59
2014-05-15,cereals and tubers,Rice (white),KG,133.0,67.61,0.52
2014-05-15,miscellaneous food,Sugar,KG,97.0,101.58,0.78
2014-05-15,non-food,Fuel (diesel),L,284.0,121.0,0.93
2014-06-15,cereals and tubers,Rice (long grain),KG,162.0,80.15,0.62
2014-06-15,cereals and tubers,Rice (white),KG,133.0,68.44,0.53
2014-06-15,cereals and tubers,Wheat flour,KG,58.0,97.54,0.75
2014-06-15,miscellaneous food,Sugar,KG,97.0,103.4,0.79
2014-06-15,non-food,Fuel (petrol-gasoline),L,285.0,162.0,1.24
2014-07-15,cereals and tubers,Rice (white),KG,133.0,68.68,0.53
2014-07-15,cereals and tubers,Wheat flour,KG,58.0,99.02,0.76
2014-07-15,miscellaneous food,Sugar,KG,97.0,100.06,0.77
2014-07-15,non-food,Fuel (petrol-gasoline),L,285.0,162.0,1.24
2014-08-15,cereals and tubers,Rice (long grain),KG,162.0,77.39,0.59
2014-08-15,cereals and tubers,Rice (white),KG,133.0,72.9,0.56
2014-08-15,cereals and tubers,Wheat flour,KG,58.0,97.2,0.75
2014-08-15,non-food,Fuel (petrol-gasoline),L,285.0,162.0,1.24
2014-09-15,cereals and tubers,Rice (long grain),KG,162.0,82.15,0.63
2014-09-15,cereals and tubers,Rice (white),KG,133.0,78.56,0.6
2014-09-15,cereals and tubers,Wheat flour,KG,58.0,97.65,0.75
2014-09-15,miscellaneous food,Sugar,KG,97.0,98.37,0.76
2014-09-15,non-food,Fuel (diesel),L,284.0,118.0,0.91
2014-09-15,non-food,Fuel (petrol-gasoline),L,285.0,157.0,1.21
2014-10-15,cereals and tubers,Rice (white),KG,133.0,78.78,0.6
2014-10-15,cereals and tubers,Wheat flour,KG,58.0,97.58,0.75
2014-12-15,cereals and tubers,Rice (white),KG,133.0,78.19,0.6
2014-12-15,cereals and tubers,Wheat flour,KG,58.0,97.84,0.75
2015-01-15,cereals and tubers,Rice (long grain),KG,162.0,79.71,0.61
2015-01-15,cereals and tubers,Wheat flour,KG,58.0,96.74,0.74
2015-01-15,miscellaneous food,Sugar,KG,97.0,82.35,0.63
2015-01-15,non-food,Fuel (diesel),L,284.0,111.0,0.84
2015-01-15,non-food,Fuel (petrol-gasoline),L,285.0,150.0,1.14
2015-02-15,cereals and tubers,Rice (long grain),KG,162.0,74.55,0.56
2015-02-15,cereals and tubers,Wheat flour,KG,58.0,85.86,0.65
2015-02-15,miscellaneous food,Sugar,KG,97.0,81.85,0.62
