date,province,district,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2005-11-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,30.44,0.3
2006-01-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,35.23,0.35
2006-01-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,30.24,0.3
2006-02-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,27.0,0.26
2006-02-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,32.0,0.31
2006-02-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,29.0,0.28
2006-02-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,28.0,0.27
2006-02-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,33.08,0.32
2006-02-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,30.98,0.3
2006-03-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,23.5,0.23
2006-03-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,30.6,0.3
2006-03-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,26.8,0.26
2006-03-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,29.4,0.29
2006-03-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.0,0.29
2006-03-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,33.5,0.33
2006-03-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,28.5,0.28
2006-03-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,32.0,0.31
2006-03-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,27.5,0.27
2006-03-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,32.5,0.32
2006-03-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,36.0,0.35
2006-03-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,32.5,0.32
2006-03-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,31.0,0.3
2006-03-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,31.76,0.31
2006-04-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,27.5,0.27
2006-04-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,33.5,0.33
2006-04-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,36.66,0.36
2006-04-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,31.0,0.3
2006-04-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,34.0,0.33
2006-04-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,28.5,0.28
2006-04-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,26.0,0.25
2006-04-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,32.5,0.32
2006-04-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,36.0,0.35
2006-04-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,32.5,0.32
2006-04-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.46,0.3
2006-05-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,16.0,0.16
2006-05-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,36.16,0.35
2006-05-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,31.6,0.31
2006-05-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,29.6,0.29
2006-05-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,29.75,0.29
2006-05-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,31.75,0.31
2006-05-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,34.0,0.33
2006-05-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,34.5,0.34
2006-05-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,32.5,0.32
2006-05-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,32.5,0.32
2006-05-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,33.88,0.33
2006-06-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,26.5,0.26
2006-06-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,36.5,0.35
2006-06-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,34.66,0.33
2006-06-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.5,0.29
2006-06-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,31.0,0.3
2006-06-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,34.5,0.33
2006-06-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,29.0,0.28
2006-06-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,35.0,0.34
2006-06-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.5,0.29
2006-06-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,34.0,0.33
2006-06-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,32.0,0.31
2006-06-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.0,0.29
2006-06-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,33.5,0.32
2006-06-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.53,0.29
2006-07-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,35.0,0.34
2006-07-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.62,0.29
2006-07-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,31.5,0.3
2006-07-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,31.5,0.3
2006-07-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,35.0,0.34
2006-07-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,31.5,0.3
2006-07-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,34.5,0.33
2006-07-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.5,0.29
2006-07-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.0,0.29
2006-07-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,33.0,0.32
2006-07-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,31.07,0.3
2006-07-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (white),133,KG,actual,Retail,LKR,30.25,0.29
2006-07-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,33.87,0.33
2006-08-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,35.0,0.34
2006-08-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,33.66,0.32
2006-08-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,31.3,0.3
2006-08-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.75,0.3
2006-08-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,35.5,0.34
2006-08-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,41.0,0.39
2006-08-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,32.0,0.31
2006-08-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,57.5,0.55
2006-08-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,31.5,0.3
2006-08-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,35.0,0.34
2006-08-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,38.0,0.37
2006-08-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,34.0,0.33
2006-08-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.86,0.3
2006-08-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,34.89,0.34
2006-09-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,22.5,0.22
2006-09-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,35.0,0.34
2006-09-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,31.0,0.3
2006-09-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,35.3,0.34
2006-09-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,34.8,0.34
2006-09-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,55.0,0.54
2006-09-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,32.0,0.31
2006-09-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,32.5,0.32
2006-09-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,35.5,0.35
2006-09-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,60.0,0.59
2006-09-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,33.0,0.32
2006-09-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,34.0,0.33
2006-09-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (white),133,KG,actual,Retail,LKR,29.92,0.29
2006-10-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,22.5,0.21
2006-10-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,40.0,0.38
2006-10-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,27.0,0.25
2006-10-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,38.3,0.36
2006-10-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,183.0,1.72
2006-10-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,80.0,0.75
2006-10-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,45.5,0.43
2006-10-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,37.0,0.35
2006-10-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,32.0,0.3
2006-10-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,45.0,0.42
2006-10-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,39.3,0.37
2006-10-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,31.75,0.3
2006-10-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (white),133,KG,actual,Retail,LKR,29.66,0.28
2006-10-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,39.38,0.37
2006-11-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,28.25,0.26
2006-11-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,48.0,0.44
2006-11-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,33.67,0.31
2006-11-15,Eastern,Batticaloa,Batticaloa,361,7.72,81.7,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,39.0,0.36
2006-11-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,33.0,0.3
2006-11-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,100.0,0.92
2006-11-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,45.0,0.42
2006-11-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,38.5,0.36
2006-11-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,37.5,0.35
2006-11-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,35.0,0.32
2006-11-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,49.0,0.45
2006-11-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,39.5,0.36
2006-11-15,Northern,Vavuniya,Vavuniya,367,8.75,80.5,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,39.5,0.36
2006-11-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Rice (white),133,KG,actual,Retail,LKR,31.78,0.29
2006-11-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,39.81,0.37
2006-12-15,Western,Colombo,Colombo City,368,6.93,79.85,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,40.06,0.37
2007-01-15,Eastern,Ampara,Ampara,360,7.28,81.67,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,33.5,0.31
2007-01-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,32.8,0.3
2007-01-15,Eastern,Trincomalee,Trincomalee,366,8.57,81.23,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,38.8,0.36
2007-01-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,182.5,1.68
2007-01-15,Northern,Jaffna,Jaffna,362,9.66,80.01,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,67.5,0.62
2007-01-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.0,0.28
2007-01-15,Northern,Kilinochchi,Kilinochchi,363,9.4,80.4,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,45.0,0.42
2007-01-15,Northern,Mannar,Mannar,364,8.98,79.9,cereals and tubers,Wheat flour,58,KG,actual,Retail,LKR,39.0,0.36
2007-01-15,Northern,Mullattivu,Mulaitivu,365,9.27,80.81,cereals and tubers,Rice (red nadu),157,KG,actual,Retail,LKR,30.5,0.28
